45,83,27.2,50,97.4,89,91,43
71.75,100,14.6,88,85.5,78,80,64.42
117,100,23.4,83,88,100,87,111
70,100,5.4,83,79.3,100,75,63
105.2,100,18.2,80,92.2,78,84,104.6
224,100,24.6,83,80,100,87,223
99.2,100,13.7,80,76.3,78,83,62.4
108.2,100,16.8,80,90.7,78,77,108
125.2,100,16.4,80,89.2,78,84,125
110.3,100,13.9,87,87.5,78,77,110.3
125.2,100,15.9,80,88.3,78,80,125
105.4,100,16.5,80,89.4,78,72,105.4
129,100,29.5,83,95.5,100,84,111
124.92,100,11.9,89,84.1,78,82,124.38
114,100,27.5,50,92.5,78,84,108
125.44,100,13.5,86,86.4,78,80,125.33
136.07,100,13.5,95,82.3,100,74,110.93
132,100,15.1,78,85.5,78,84,131.5
122,100,15.4,80,82.5,78,77,122
129.67,100,13.2,86,84.1,78,80,129.56
96,100,22,78,94.1,78,72,68.75
109.09,100,8.7,88,85.4,78,77,109
77.86,100,7.3,83,87.6,89,75,77.43
165,100,29.1,83,94,100,84,165
50,100,2,81,77.1,78,58,38
75,100,15,71,82.2,89,77,74.5
159,100,26.8,67,87.2,89,72,151
126.2,100,12.3,80,78.7,78,80,125.8
125.75,100,12.4,78,75.9,78,80,125.5
111,83,26.9,50,97.1,89,91,109
175,100,11.3,83,62.8,100,87,174
130,83,23.6,50,91.6,89,91,126
327.5,100,16.4,86,64.9,100,80,300.5
145.62,100,11.9,85,74.6,78,84,145.12
126.77,100,3.2,86,81.8,78,80,119.44
132.12,100,11.2,93,79,100,80,98.56
75,86,20.5,71,87,89,84,74
135,100,22.7,83,84.9,100,84,134
180,100,27.3,83,82.9,100,84,180
166.11,100,10.3,86,75.7,78,80,158.89
159,98,26.3,67,94.6,100,84,158
150.45,100,7.4,96,82.1,100,82,100.36
138.13,100,5.8,90,80.3,78,69,135.94
238,100,18.3,83,70.8,100,87,238
169.33,100,10.7,86,66.1,78,66,132.33
134,100,1.3,75,80,78,84,132.67
136.5,100,2.1,71,80.3,78,84,136.5
77.5,86,17.8,71,85.6,89,80,73.5
158.17,100,10.9,82,73.9,78,62,126.67
119,83,15.3,50,85.4,89,84,103
122.12,100,13.5,85,83.5,78,77,122
1442,100,10.3,83,71.1,100,84,1359
225.36,100,10.9,88,62.6,78,77,225.36
197,83,23.2,50,81,89,89,194
113.5,79,2.1,56,72.5,78,84,48.75
164,100,2.4,75,70,89,84,125.33
479,83,18.1,50,79.2,89,91,354
167.67,100,3.6,75,65.9,78,84,116.67
134.34,100,1.1,75,82.1,78,80,133.67
136.88,62,8.2,46,69.1,78,80,43.88
167.6,100,10.9,80,62.9,78,62,145.8
133.5,100,1.5,71,78.1,78,84,133
125.5,100,1.7,71,67.6,78,80,111
171.6,100,11.4,80,62.1,78,62,149.4
65.28,64,11.3,53,87.8,78,80,62.07
117.27,100,6,93,85.5,78,82,116.82
164.5,72,9.3,57,74.4,100,84,152.5
113.8,100,5.2,90,81,100,84,83.8
163.8,100,11.1,80,62.1,78,62,143.2
129.34,56,5.1,48,74.5,78,77,37.69
168,100,10.9,80,63.7,78,62,145
144,100,24.7,57,90.2,78,93,143.5
141.5,100,0.9,71,77.8,78,80,140.5
118.5,100,0.7,71,70.2,78,80,118.5
179.46,100,9.3,88,56.7,78,66,132.82
104,86,18.7,71,85.6,89,80,102.5
87.48,61,1.9,51,95.5,78,82,86.4
168.17,91,4.3,83,76.9,78,74,131
158,100,2.2,71,75.7,78,84,157.5
267.37,100,8.1,95,70,100,72,245.56
401,100,9,83,66.3,78,77,266.71
102,100,9.5,67,78.5,78,84,102
156,100,0.1,90,60,78,74,93
266.89,100,2.8,95,58.7,78,82,128.61
317,100,8.2,83,59.4,78,84,261.29
129,100,17.6,67,81.3,89,87,115
120,100,3.6,91,82.7,100,84,94.17
102,83,26.8,33,96.6,78,86,98
70,84,7.7,50,77.3,78,87,68
